[2026-04-16 16:41:52.534 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #114 ReqTime:"2026-04-16T16:41:52.5319326+05:30" Duration:1ms
[2026-04-16 16:41:52.539 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #115 ReqTime:"2026-04-16T16:41:52.5369882+05:30" Duration:1ms
[2026-04-16 16:41:52.544 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #116 ReqTime:"2026-04-16T16:41:52.5420190+05:30" Duration:1ms
[2026-04-16 16:41:52.548 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #117 ReqTime:"2026-04-16T16:41:52.5463171+05:30" Duration:1ms
[2026-04-16 16:41:52.552 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #118 ReqTime:"2026-04-16T16:41:52.5505426+05:30" Duration:1ms
[2026-04-16 16:41:52.557 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #119 ReqTime:"2026-04-16T16:41:52.5546377+05:30" Duration:1ms
[2026-04-16 16:41:52.561 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #120 ReqTime:"2026-04-16T16:41:52.5591730+05:30" Duration:1ms
[2026-04-16 16:41:52.565 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #121 ReqTime:"2026-04-16T16:41:52.5631565+05:30" Duration:1ms
[2026-04-16 16:41:52.569 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #122 ReqTime:"2026-04-16T16:41:52.5671703+05:30" Duration:0ms
[2026-04-16 16:41:52.573 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #123 ReqTime:"2026-04-16T16:41:52.5709774+05:30" Duration:0ms
[2026-04-16 16:41:52.578 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #124 ReqTime:"2026-04-16T16:41:52.5757643+05:30" Duration:1ms
[2026-04-16 16:41:52.582 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #125 ReqTime:"2026-04-16T16:41:52.5802423+05:30" Duration:1ms
[2026-04-16 16:41:52.586 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #126 ReqTime:"2026-04-16T16:41:52.5842724+05:30" Duration:0ms
[2026-04-16 16:41:52.590 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #127 ReqTime:"2026-04-16T16:41:52.5882944+05:30" Duration:1ms
[2026-04-16 16:41:52.594 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #128 ReqTime:"2026-04-16T16:41:52.5926876+05:30" Duration:1ms
[2026-04-16 16:41:52.599 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #129 ReqTime:"2026-04-16T16:41:52.5971804+05:30" Duration:1ms
[2026-04-16 16:41:52.603 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #130 ReqTime:"2026-04-16T16:41:52.6011686+05:30" Duration:0ms
[2026-04-16 16:41:52.607 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #131 ReqTime:"2026-04-16T16:41:52.6051786+05:30" Duration:1ms
[2026-04-16 16:41:52.611 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #132 ReqTime:"2026-04-16T16:41:52.6094739+05:30" Duration:1ms
[2026-04-16 16:41:52.615 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #133 ReqTime:"2026-04-16T16:41:52.6133559+05:30" Duration:0ms
[2026-04-16 16:41:52.618 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #134 ReqTime:"2026-04-16T16:41:52.6170312+05:30" Duration:0ms
